"Timestamp","Question 1","Question 2","Question 3","Question 4","Question 5","Question 5","Question 6","What gender do you identify with? 
For reproducibility reasons, we can only allow two options here.","What is your age?","What is your household income?","What is your level of education?","In which of the regions below do you live right now?"
"2022/11/09 5:14:03 PM PST","It's important for a person to be honest, kind, and loyal.","No","Some","Some experts say it's important to drink milk, but the data is inconclusive.","Yes","Some","Neither important nor unimportant (neutral)","Female","18-29","$150,000+","Graduate degree","West North Central"
"2022/11/09 5:15:11 PM PST","It's important for a person to be honest, kind and loyal.","Yes","Not at all","Some experts say it's important to drink milk, but the data is inconclusive.","No","Not at all","Very important","Male","30-44","$100,000 - $149,999","Graduate degree","Pacific"
"2022/11/09 5:15:49 PM PST","It's important for a person to be honest, kind, and loyal.","Yes","Not at all","Some experts say it's important to drink milk, but the data are inconclusive.","Yes","Some","Somewhat important","Male","18-29","$100,000 - $149,999","Graduate degree","Pacific"
"2022/11/09 6:06:22 PM PST","It's important for a person to be honest, kind, and loyal.","Yes","A lot","Some experts say it's important to drink milk, but the data is inconclusive.","Yes","Not at all","Somewhat important","Male","18-29","$100,000 - $149,999","Graduate degree","Pacific"
"2022/11/10 9:26:51 AM PST","It's important for a person to be honest, kind, and loyal.","No","Not much","Some experts say it's important to drink milk, but the data are inconclusive.","Yes","Not much","Somewhat important","Male","18-29","$25,000 - $49,999","Some college or Associate degree","Pacific"
"2022/11/10 9:31:37 AM PST","It's important for a person to be honest, kind, and loyal.","Yes","A lot","Some experts say it's important to drink milk, but the data is inconclusive.","Yes","Not much","Very important","Female","18-29","$100,000 - $149,999","Graduate degree","Pacific"
"2022/11/10 9:34:06 AM PST","It's important for a person to be honest, kind, and loyal.","Yes","Some","Some experts say it's important to drink milk, but the data is inconclusive.","Yes","Not at all","Somewhat important","Male","18-29","$25,000 - $49,999","Graduate degree","Pacific"
"2022/11/10 9:51:27 AM PST","It's important for a person to be honest, kind, and loyal.","Yes","A lot","Some experts say it's important to drink milk, but the data are inconclusive.","Yes","Not much","Very important","Female","18-29","$50,000 - $99,999","Graduate degree","West North Central"
"2022/11/10 10:33:01 AM PST","It's important for a person to be honest, kind, and loyal.","Yes","Some","Some experts say it's important to drink milk, but the data is inconclusive.","Yes","Not much","Very important","Female","18-29","$150,000+","Graduate degree","South Atlantic"
"2022/11/10 10:35:32 AM PST","It's important for a person to be honest, kind and loyal.","No","Not at all","Some experts say it's important to drink milk, but the data is inconclusive.","Yes","Not much","Very important","Male","18-29","$150,000+","Graduate degree","Pacific"
"2022/11/10 10:37:17 AM PST","It's important for a person to be honest, kind, and loyal.","Yes","Not much","Some experts say it's important to drink milk, but the data is inconclusive.","No","Not at all","Somewhat important","Male","18-29","$100,000 - $149,999","Graduate degree","Pacific"
"2022/11/10 10:52:10 AM PST","It's important for a person to be honest, kind, and loyal.","Yes","Not much","Some experts say it's important to drink milk, but the data is inconclusive.","No","Not at all","Very important","Male","18-29","$150,000+","Graduate degree","Middle Atlantic"
"2022/11/10 11:02:18 AM PST","It's important for a person to be honest, kind and loyal.","Yes","Not much","Some experts say it's important to drink milk, but the data is inconclusive.","No","Not much","Neither important nor unimportant (neutral)","Male","18-29","$50,000 - $99,999","Bachelor degree","Pacific"
"2022/11/10 11:38:58 AM PST","It's important for a person to be honest, kind and loyal.","Yes","Not much","Some experts say it's important to drink milk, but the data is inconclusive.","Yes","Not much","Somewhat important","Male","30-44","$0 - $24,999","Bachelor degree","Pacific"
"2022/11/10 11:50:55 AM PST","It's important for a person to be honest, kind, and loyal.","Yes","A lot","Some experts say it's important to drink milk, but the data are inconclusive.","Yes","A lot","Very important","Female","18-29","$25,000 - $49,999","Bachelor degree","East North Central"
"2022/11/10 1:04:22 PM PST","It's important for a person to be honest, kind, and loyal.","Yes","Not at all","Some experts say it's important to drink milk, but the data is inconclusive.","Yes","Not at all","Very important","Male","18-29","$50,000 - $99,999","Graduate degree","Pacific"
"2022/11/10 1:24:24 PM PST","It's important for a person to be honest, kind, and loyal.","Yes","A lot","","No","Not at all","Neither important nor unimportant (neutral)","Male","18-29","$25,000 - $49,999","Graduate degree","Pacific"
"2022/11/10 2:50:11 PM PST","It's important for a person to be honest, kind, and loyal.","No","","Some experts say it's important to drink milk, but the data is inconclusive.","No","Not at all","Very important","Male","18-29","$50,000 - $99,999","Graduate degree","Pacific"
"2022/11/10 4:38:20 PM PST","It's important for a person to be honest, kind, and loyal.","Yes","Not much","Some experts say it's important to drink milk, but the data is inconclusive.","Yes","Not much","Neither important nor unimportant (neutral)","Male","18-29","$0 - $24,999","Graduate degree","Pacific"
"2022/11/10 8:55:49 PM PST","It's important for a person to be honest, kind, and loyal.","No","Not at all","Some experts say it's important to drink milk, but the data is inconclusive.","Yes","Some","Neither important nor unimportant (neutral)","Female","18-29","$50,000 - $99,999","Graduate degree","Pacific"
"2022/11/10 10:50:06 PM PST","It's important for a person to be honest, kind and loyal.","No","Some","Some experts say it's important to drink milk, but the data is inconclusive.","No","Some","Very important","Female","18-29","$25,000 - $49,999","Graduate degree","Pacific"
"2022/11/11 7:29:31 AM PST","It's important for a person to be honest, kind and loyal.","Yes","Some","Some experts say it's important to drink milk, but the data is inconclusive.","Yes","Some","Somewhat important","Male","18-29","$100,000 - $149,999","Graduate degree","Pacific"
